input_path,annotated_path,heatmap_path,anomaly_heatmap_path,label,is_anomaly,score,threshold,st_map_weight,ae_map_weight,inference_time_ms,processing_time_ms,total_time_ms,roi_x,roi_y,roi_width,roi_height,masks_json,scoring_mode,student_weight,autoencoder_weight,normalization,error
C:\projects\efficientAD\mydataset\my_product4\test\broken\001K8_0031.png,C:\projects\efficientAD\results\model13_my_product4\annotated\broken\001K8_0031_result.png,C:\projects\efficientAD\results\model13_my_product4\heatmaps\broken\001K8_0031_heatmap.png,C:\projects\efficientAD\results\model13_my_product4\anomaly_heatmaps\broken\001K8_0031_heatmap.png,ANOMALY,True,0.0120018869638443,0.007144,0.0,0.025,272.00599992647767,299.72150013782084,356.58969986252487,0,0,390,484,[],weighted_ae_difference,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\student_final.pth,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\autoencoder_final.pth,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\norm_params.json,
C:\projects\efficientAD\mydataset\my_product4\test\broken\001K8_0058.png,C:\projects\efficientAD\results\model13_my_product4\annotated\broken\001K8_0058_result.png,C:\projects\efficientAD\results\model13_my_product4\heatmaps\broken\001K8_0058_heatmap.png,C:\projects\efficientAD\results\model13_my_product4\anomaly_heatmaps\broken\001K8_0058_heatmap.png,ANOMALY,True,0.013163521885871887,0.007144,0.0,0.025,8.054699981585145,11.786600109189749,44.430400012061,0,0,390,484,[],weighted_ae_difference,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\student_final.pth,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\autoencoder_final.pth,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\norm_params.json,
C:\projects\efficientAD\mydataset\my_product4\test\broken\001K8_0059.png,C:\projects\efficientAD\results\model13_my_product4\annotated\broken\001K8_0059_result.png,C:\projects\efficientAD\results\model13_my_product4\heatmaps\broken\001K8_0059_heatmap.png,C:\projects\efficientAD\results\model13_my_product4\anomaly_heatmaps\broken\001K8_0059_heatmap.png,ANOMALY,True,0.011121942661702633,0.007144,0.0,0.025,8.125700056552887,11.395199922844768,43.50299993529916,0,0,390,484,[],weighted_ae_difference,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\student_final.pth,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\autoencoder_final.pth,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\norm_params.json,
C:\projects\efficientAD\mydataset\my_product4\test\broken\001K8_0060.png,C:\projects\efficientAD\results\model13_my_product4\annotated\broken\001K8_0060_result.png,C:\projects\efficientAD\results\model13_my_product4\heatmaps\broken\001K8_0060_heatmap.png,C:\projects\efficientAD\results\model13_my_product4\anomaly_heatmaps\broken\001K8_0060_heatmap.png,ANOMALY,True,0.013685082085430622,0.007144,0.0,0.025,8.15220014192164,11.321800062432885,44.72219990566373,0,0,390,484,[],weighted_ae_difference,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\student_final.pth,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\autoencoder_final.pth,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\norm_params.json,
C:\projects\efficientAD\mydataset\my_product4\test\broken\001K8_0062.png,C:\projects\efficientAD\results\model13_my_product4\annotated\broken\001K8_0062_result.png,C:\projects\efficientAD\results\model13_my_product4\heatmaps\broken\001K8_0062_heatmap.png,C:\projects\efficientAD\results\model13_my_product4\anomaly_heatmaps\broken\001K8_0062_heatmap.png,ANOMALY,True,0.014742321334779263,0.007144,0.0,0.025,8.092100033536553,11.309799971058965,43.48520003259182,0,0,390,484,[],weighted_ae_difference,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\student_final.pth,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\autoencoder_final.pth,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\norm_params.json,
C:\projects\efficientAD\mydataset\my_product4\test\broken\001K8_0063.png,C:\projects\efficientAD\results\model13_my_product4\annotated\broken\001K8_0063_result.png,C:\projects\efficientAD\results\model13_my_product4\heatmaps\broken\001K8_0063_heatmap.png,C:\projects\efficientAD\results\model13_my_product4\anomaly_heatmaps\broken\001K8_0063_heatmap.png,ANOMALY,True,0.012949684634804726,0.007144,0.0,0.025,8.06259992532432,11.244999943301082,43.78860001452267,0,0,390,484,[],weighted_ae_difference,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\student_final.pth,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\autoencoder_final.pth,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\norm_params.json,
C:\projects\efficientAD\mydataset\my_product4\test\broken\001K8_0064.png,C:\projects\efficientAD\results\model13_my_product4\annotated\broken\001K8_0064_result.png,C:\projects\efficientAD\results\model13_my_product4\heatmaps\broken\001K8_0064_heatmap.png,C:\projects\efficientAD\results\model13_my_product4\anomaly_heatmaps\broken\001K8_0064_heatmap.png,ANOMALY,True,0.014408590272068977,0.007144,0.0,0.025,8.0850999802351,11.508899973705411,45.44540005736053,0,0,390,484,[],weighted_ae_difference,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\student_final.pth,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\autoencoder_final.pth,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\norm_params.json,
C:\projects\efficientAD\mydataset\my_product4\test\broken\001K8_0065.png,C:\projects\efficientAD\results\model13_my_product4\annotated\broken\001K8_0065_result.png,C:\projects\efficientAD\results\model13_my_product4\heatmaps\broken\001K8_0065_heatmap.png,C:\projects\efficientAD\results\model13_my_product4\anomaly_heatmaps\broken\001K8_0065_heatmap.png,ANOMALY,True,0.013461566530168056,0.007144,0.0,0.025,8.168800035491586,12.400700012221932,47.06729995086789,0,0,390,484,[],weighted_ae_difference,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\student_final.pth,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\autoencoder_final.pth,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\norm_params.json,
C:\projects\efficientAD\mydataset\my_product4\test\broken\001K8_0066.png,C:\projects\efficientAD\results\model13_my_product4\annotated\broken\001K8_0066_result.png,C:\projects\efficientAD\results\model13_my_product4\heatmaps\broken\001K8_0066_heatmap.png,,NORMAL,False,0.005569383502006531,0.007144,0.0,0.025,8.121100021526217,11.323099955916405,40.9659999422729,0,0,390,484,[],weighted_ae_difference,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\student_final.pth,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\autoencoder_final.pth,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\norm_params.json,
C:\projects\efficientAD\mydataset\my_product4\test\broken\001K8_0067.png,C:\projects\efficientAD\results\model13_my_product4\annotated\broken\001K8_0067_result.png,C:\projects\efficientAD\results\model13_my_product4\heatmaps\broken\001K8_0067_heatmap.png,C:\projects\efficientAD\results\model13_my_product4\anomaly_heatmaps\broken\001K8_0067_heatmap.png,ANOMALY,True,0.010668003000319004,0.007144,0.0,0.025,8.117899997159839,11.379299918189645,50.16579991206527,0,0,390,484,[],weighted_ae_difference,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\student_final.pth,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\autoencoder_final.pth,C:\projects\efficientAD\EfficientAD-main\output\13\trainings\mvtec_ad\my_product4\norm_params.json,
